id,login,name,salary
e0280,a0280,Raul Roy,300.92138
e0281,a0281,Walton Travis,0
e0282,a0282,Blaine Wright,0
e0283,a0283,Anibal Robertson,0
e0284,a0284,Amelia Ferrell,0
e0285,a0285,Lucille Underwood,0
e0286,a0286,Frankie Mosley,0
e0287,a0287,Ronnie Mitchell,0
e0288,a0288,Elva Davidson,0
e0289,a0289,James Mercer,0
e0290,a0290,Dwayne Delgado,0
e0291,a0291,Patrick Molina,0
e0292,a0292,Xavier Yoder,0
e0293,a0293,Shelia Curtis,0
e0294,a0294,Grace Clark,0
e0295,a0295,Darryl Payne,0
e0296,a0296,Elvin Carr,0
e0297,a0297,Lynn Rosales,0
e0298,a0298,Maribel Bauer,0
e0299,a0299,Elijah Mercado,0
